district,date,epi_week,reporting_year,suspected_cases,rdt_confirmations
Nkeyema,2025-01-01,1,2025,0,549
Nsama,2021-01-01,1,2021,0,545
Nsama,2022-01-01,1,2022,0,380
Nsama,2023-01-01,1,2023,0,475
Nsama,2024-01-01,1,2024,0,258
Nsama,2025-01-01,1,2025,0,200
Nyimba,2021-01-01,1,2021,0,511
Nyimba,2022-01-01,1,2022,0,292
Nyimba,2023-01-01,1,2023,0,571
Nyimba,2024-01-01,1,2024,0,212
Nyimba,2025-01-01,1,2025,0,431
Pemba,2021-01-01,1,2021,0,35
Pemba,2022-01-01,1,2022,0,48
Pemba,2023-01-01,1,2023,0,65
Pemba,2024-01-01,1,2024,0,40
Pemba,2025-01-01,1,2025,0,66
Petauke,2021-01-01,1,2021,0,84
Petauke,2022-01-01,1,2022,0,45
Petauke,2023-01-01,1,2023,0,86
Petauke,2024-01-01,1,2024,0,88
Petauke,2025-01-01,1,2025,0,112
Rufunsa,2021-01-01,1,2021,0,603
Rufunsa,2022-01-01,1,2022,0,295
Rufunsa,2023-01-01,1,2023,0,379
Rufunsa,2024-01-01,1,2024,0,210
Rufunsa,2025-01-01,1,2025,0,310
Samfya,2021-01-01,1,2021,0,663
Samfya,2022-01-01,1,2022,0,644
Samfya,2023-01-01,1,2023,0,911
Samfya,2024-01-01,1,2024,0,774
Samfya,2025-01-01,1,2025,0,722
Senanga,2021-01-01,1,2021,0,818
Senanga,2022-01-01,1,2022,0,595
Senanga,2023-01-01,1,2023,0,648
Senanga,2024-01-01,1,2024,0,301
Senanga,2025-01-01,1,2025,0,600
Senga Hill,2021-01-01,1,2021,0,241
Senga Hill,2022-01-01,1,2022,0,316
Senga Hill,2023-01-01,1,2023,0,379
Senga Hill,2024-01-01,1,2024,0,199
Senga Hill,2025-01-01,1,2025,0,180
Serenje,2021-01-01,1,2021,0,500
Serenje,2022-01-01,1,2022,0,395
Serenje,2023-01-01,1,2023,0,527
Serenje,2024-01-01,1,2024,0,518
Serenje,2025-01-01,1,2025,0,741
Sesheke,2021-01-01,1,2021,0,764
Sesheke,2022-01-01,1,2022,0,531
Sesheke,2023-01-01,1,2023,0,433
Sesheke,2024-01-01,1,2024,0,165
Sesheke,2025-01-01,1,2025,0,358
Shangombo,2021-01-01,1,2021,0,437
Shangombo,2022-01-01,1,2022,0,365
Shangombo,2023-01-01,1,2023,0,328
Shangombo,2024-01-01,1,2024,0,199
Shangombo,2025-01-01,1,2025,0,554
Shibuyunji,2021-01-01,1,2021,0,22
Shibuyunji,2022-01-01,1,2022,0,8
Shibuyunji,2023-01-01,1,2023,0,10
Shibuyunji,2024-01-01,1,2024,0,7
Shibuyunji,2025-01-01,1,2025,0,11
Shiwang'andu,2021-01-01,1,2021,0,344
Shiwang'andu,2022-01-01,1,2022,0,555
Shiwang'andu,2023-01-01,1,2023,0,603
Shiwang'andu,2024-01-01,1,2024,0,542
Shiwang'andu,2025-01-01,1,2025,0,533
Siavonga,2021-01-01,1,2021,0,66
Siavonga,2022-01-01,1,2022,0,15
Siavonga,2023-01-01,1,2023,0,17
Siavonga,2024-01-01,1,2024,0,8
Siavonga,2025-01-01,1,2025,0,28
Sikongo,2021-01-01,1,2021,0,513
Sikongo,2022-01-01,1,2022,0,659
Sikongo,2023-01-01,1,2023,0,845
Sikongo,2024-01-01,1,2024,0,574
Sikongo,2025-01-01,1,2025,0,725
Sinazongwe,2021-01-01,1,2021,0,108
Sinazongwe,2022-01-01,1,2022,0,34
Sinazongwe,2023-01-01,1,2023,0,10
Sinazongwe,2024-01-01,1,2024,0,8
Sinazongwe,2025-01-01,1,2025,0,45
Sinda,2021-01-01,1,2021,0,34
Sinda,2022-01-01,1,2022,0,23
Sinda,2023-01-01,1,2023,0,38
Sinda,2024-01-01,1,2024,0,27
Sinda,2025-01-01,1,2025,0,49
Sioma,2021-01-01,1,2021,0,931
Sioma,2022-01-01,1,2022,0,529
Sioma,2023-01-01,1,2023,0,673
Sioma,2024-01-01,1,2024,0,335
Sioma,2025-01-01,1,2025,0,457
Solwezi,2021-01-01,1,2021,0,874
Solwezi,2022-01-01,1,2022,0,539
Solwezi,2023-01-01,1,2023,0,558
Solwezi,2024-01-01,1,2024,0,323
Solwezi,2025-01-01,1,2025,0,397
Vubwi,2021-01-01,1,2021,0,727
Vubwi,2022-01-01,1,2022,0,477
Vubwi,2023-01-01,1,2023,0,414
Vubwi,2024-01-01,1,2024,0,271
Vubwi,2025-01-01,1,2025,0,338
Zambezi,2021-01-01,1,2021,0,712
Zambezi,2022-01-01,1,2022,0,1070
Zambezi,2023-01-01,1,2023,0,1320
Zambezi,2024-01-01,1,2024,0,864
Zambezi,2025-01-01,1,2025,0,861
Zimba,2021-01-01,1,2021,0,7
Zimba,2022-01-01,1,2022,0,2
Zimba,2023-01-01,1,2023,0,3
Zimba,2024-01-01,1,2024,0,2
Zimba,2025-01-01,1,2025,0,5
